date,platform,business_name,page_url,category,followers,email,phone,website,has_website,address,last_post_date,qualification_score,status,notes
2026-06-26,facebook,Sāṅjh,https://www.facebook.com/Sanjh.Boutique,fashion,263K followers,,"+8801942912129, +8801310589809",https://www.facebook,true,Dhaka,6h,8,new,Auto-extracted via extension.
2026-06-26,facebook,Leo Trades,https://www.facebook.com/LeoTrades,retail,313K followers,rahmanj209@gmail.com,"+8801611156162, +8801671669473, +101611156162",,false,Dhaka,22h,10,new,Auto-extracted via extension.
2026-06-26,facebook,Tamaz BD-Mirpur 2,https://www.facebook.com/tamazbdmirpur2,general,118K followers,tamazbdmirpur2@gmail.com,"+8801994887453, +201994887453",,false,"Floor,Mirpur Shopping Center,Mirpur 2, Dhaka","Jun 26, 2026 5:34 PM",10,new,Auto-extracted via extension.
2026-06-26,facebook,Dress It Up,https://www.facebook.com/dressitupbylamsam,fashion,68K followers,dressitup899@gmail.com,,,false,Dhaka,4h,9,new,Auto-extracted via extension.
2026-06-26,facebook,Mibsam Perfumes,https://www.facebook.com/mibsamperfumes,general,15K followers,mibsamperfume@gmail.com,+8801338250065,http://yashabd.com/,true,Dhaka,"Jun 25, 2026 12:19 PM",10,new,Auto-extracted via extension.
2026-06-26,facebook,Stellar Perfumes,https://www.facebook.com/stellarperfumes,general,4.7K followers,,+8801329163448,http://www.stellarperfumes.com.bd/,true,Sylhet,"May 18, 2026 9:01 PM",8,new,Auto-extracted via extension.
2026-06-26,facebook,Jhumu collection,https://www.facebook.com/profile.php?id=100065244273248,general,443K followers,jhumucollection1@gmail.com,+8801715058265,,false,Narayanganj,"Jun 26, 2026 3:01 PM",10,new,Auto-extracted via extension.
2026-06-26,facebook,Bag Lounge Bd,https://www.facebook.com/WholesaleLoungeBD,retail,19K followers,humayrakhan1234@gmail.com,+8801865429478,,false,Dhaka,"Jun 25, 2026 1:18 PM",10,new,Auto-extracted via extension.
2026-06-26,facebook,Dulcet Stuff,https://www.facebook.com/profile.php?id=61554161270211,retail,149K followers,dulcetstuff29@gmail.com,+8801581655404,,false,Dhaka,6h,10,new,Auto-extracted via extension.
2026-06-26,facebook,Sanad,https://www.facebook.com/Sanadwear,services,126K followers,sanadwear@gmail.com,+8801909423634,,false,Chittagong,1h,10,new,Auto-extracted via extension.
2026-06-26,facebook,Rahmans,https://www.facebook.com/profile.php?id=61550873576081,retail,237K followers,,+8801602054288,http://www.therahmansstore.com/,true,"Floor,
Madina Ashik Tower, Chawkbazar, Dhaka","Jun 23, 2026 11:30 PM",9,new,Auto-extracted via extension.
2026-06-26,facebook,"F & c bd 
(F n C)",https://www.facebook.com/fnc.fashionnclick,fashion,589K followers,ishratfnc111@gmail.com,+8801712109850,,false,"Road, Dhaka, Bangladesh, 1215
Chittagong Division · Rangpur Division · Sylhet Division · Dhaka Division · Khulna Division · Rajshahi","Jun 26, 2026 5:52 PM",10,new,Auto-extracted via extension.
2026-06-26,facebook,Satori,https://www.facebook.com/satori.bdd,home,610K followers,,+8801841728674,,false,"Road No. 11, 2FL, Banani, Dhaka ( Above Monno Ceramics ), Dhaka","Jun 24, 2026 10:03 PM",10,new,Auto-extracted via extension.
2026-06-26,facebook,Glory Furniture and Home decor,https://www.facebook.com/gloryfurnitureandhomedecor,home,31K followers,jiaursafollo@gmail.com,"+8801815251174, +8801752900500",https://gloryfurniture.com.bd/,true,"House#21, Road#7, Block#J, (Baganbari Bustand), Banasree, Rampura , Dhaka","Jun 25, 2026 6:00 PM",10,new,Auto-extracted via extension.
2026-06-26,facebook,4 Sisters Home Decor & Lighting,https://www.facebook.com/4SistersBD,home,4.6K followers,,"+8801400506082, +8801865896523",https://4sistersbd.com/,true,Dhaka,"Jun 26, 2026 7:40 AM",9,new,Auto-extracted via extension.
2026-06-26,facebook,Watch BD Shop,https://www.facebook.com/watchbdshop,retail,18K followers,,+8801607098714,,false,Dhaka,3h,9,new,Auto-extracted via extension.
2026-06-26,facebook,Barcode by Taru,https://www.facebook.com/TaruBarcode,fashion,62K followers,,"+8801717753142, +8801717434364",,false,"road) House Number 36 (beside of Domino's Pizza) Dhanmondi simanta Sambhar market level 1,shop number 1006 , Dhaka","Jun 26, 2026 5:01 PM",10,new,Auto-extracted via extension.
2026-06-26,facebook,RAIN Clothing Bangladesh,https://www.facebook.com/RainclothingBangladesh,fashion,443K followers,,"+8801711333169, +8801712262814",,false,Dhaka,"Jun 25, 2026 6:08 PM",10,new,Auto-extracted via extension.
2026-06-27,facebook,May be an image of text,https://www.facebook.com/artbd,fashion,496K followers,,+8801792000000,https://artlifestyle.com.bd/,true,Dhaka,13h,8,new,Auto-extracted via extension.
2026-06-27,facebook,Quality apparel,https://www.facebook.com/profile.php?id=61569066623805,fashion,126K followers,qualityapparel038@gmail.com,+8801405241044,,false,Dhaka,1h,10,new,Auto-extracted via extension.
2026-06-27,facebook,New BD Jewellery Rigga,https://www.facebook.com/profile.php?id=61577181908084,jewelry,7.8K followers,,+0505300269,https://tiktok.com/@new.bd.jewellery3,true,,12h,7,new,Auto-extracted via extension.
2026-06-27,facebook,Kayes Perfume Gallery,https://www.facebook.com/Kayes.Perfumes,general,30K followers,,+8801332547671,,false,Dhaka,3d,8,new,Auto-extracted via extension.
2026-06-27,facebook,Beauty Obsession,https://www.facebook.com/profile.php?id=100063762420199,jewelry,26K followers,,+8801831477530,,false,Dhaka,"Jun 26, 2026 11:02 PM",10,new,Auto-extracted via extension.
2026-06-27,facebook,Classy Anaya,https://www.facebook.com/classyanaya,fashion,4.1K followers,anannahasan94@gmail.com,+8801982898019,,false,Rangpur,"Jun 27, 2026 10:30 AM",10,new,Auto-extracted via extension.
2026-06-27,facebook,Goyna kutir.BD-গয়না কুটির,https://www.facebook.com/goynakutir1118,jewelry,52K likes,goynakutir1811@gmail.com,+8801729652507,,false,Dhaka,"Jun 22, 2026 9:00 PM",10,new,Auto-extracted via extension.
2026-06-27,facebook,RS Beauty BD,https://www.facebook.com/RSbeautyBD24Time,fashion,25K followers,nahiyanshamim16@gmail.com,+8801790255267,,false,"Dhaka, Bangladesh
Details
100% recommend (37 Reviews)
$
Elephant road",1d,10,new,Auto-extracted via extension.
2026-06-27,facebook,Fashion purifyin,https://www.facebook.com/profile.php?id=100090197431857,fashion,27K followers,nahid.khan0709@gmail.com,+8801626543667,,false,Dhaka,"Jun 26, 2026 12:37 AM",10,new,Auto-extracted via extension.
2026-06-27,facebook,Hoss Fashion,https://www.facebook.com/Hossfashionn,fashion,100K followers,hossfashion2@gmail.com,"+8801781913106, +6255097970",,false,Dhaka,23h,10,new,Auto-extracted via extension.
2026-06-27,facebook,Milana,https://www.facebook.com/milainaofficial,retail,1.2M followers,malihabin7@gmail.com,"+8801886439982, +8801862966098, +501886439982",http://milana-bd.com/,true,"level 2 block c shop 74&75 , Dhaka, Bangladesh, 1209
Dhaka, Dhaka",1h,9,new,Auto-extracted via extension.
2026-06-27,facebook,Online Mart BD,https://www.facebook.com/onlinemartbd0,general,58K followers,onlinemartbd2022@gmail.com,"+8801973322753, +101973322753",https://tiktok.com/@online_mart_bd%3F_t%3DZS-8srRpgaJN4M%26_r%3D1,true,Dhaka,1d,9,new,Auto-extracted via extension.
2026-06-27,facebook,The kitchen and decor,https://www.facebook.com/profile.php?id=100075844362303,services,34K followers,arohisosi15@gmail.com,+8801754679063,,false,Dhaka,2h,10,new,Auto-extracted via extension.
2026-06-27,facebook,Al Baik International,https://www.facebook.com/albaikint,restaurant,11K followers,thealbaikinernational@gmail.com,"+8801727999400, +8801339939669",https://www.thealbaikinternational.com/,true,"Road, Khulshi, Chattogram",27m,9,new,Auto-extracted via extension.
2026-06-27,facebook,Sadeeq agro,https://www.facebook.com/sadeeqagrobd,restaurant,138K followers,sadeeqagro1207@sadeeqagro.com,"+8801980008886, +8801958083858",http://www.sadeeqagro.com/,true,Dhaka,1w,9,new,Auto-extracted via extension.
2026-06-27,facebook,Shopping with Suporna,https://www.facebook.com/profile.php?id=61555003916819,general,28K followers,supornachowdhury01@gmail.com,,https://www.instagram,true,Dhaka,"Jun 27, 2026 3:27 PM",9,new,Auto-extracted via extension.
2026-06-27,facebook,Meena Bazar,https://www.facebook.com/meenabazar.bd,retail,770K followers,info@meenabazar.com.bd,"+8801933117755, +8801908517019",https://tiktok.com/@meenabazarbd,true,,"Jun 27, 2026 12:00 PM",9,new,Auto-extracted via extension.
2026-06-27,facebook,BD grocery shop,https://www.facebook.com/bd.grocery.shop,retail,132K followers,nusratjahanshorna2020@gmail.com,,https://tiktok.com/@bd.grocery.shop821%3F_t%3DZS-8uxBxILuev3%26_r%3D1,true,Dhaka,35m,8,new,Auto-extracted via extension.
2026-06-27,facebook,Almas Super Shop,https://www.facebook.com/almassupershop,retail,11K followers,almassupershop.online@gmail.com,+8801791324728,http://almas.com.bd/,true,"House #81,Road 8/A,Dhanmondi,Dhaka, Dhaka, Bangladesh, 1209
Dhaka, Dhaka",4d,9,new,Auto-extracted via extension.
2026-06-27,facebook,GroceryGuy,https://www.facebook.com/Grocery.Guy123,retail,7K followers,,+8801973667388,https://groceryguybd.com/,true,"House#13/A,Road#17,Block#K,Banani,Dhaka-1213, Banani Model Town, Bangladesh, 1213
Dhaka, Dhaka","Jun 26, 2026 6:13 PM",9,new,Auto-extracted via extension.
2026-06-27,facebook,Super Store,https://www.facebook.com/SuperStoreAnwar,retail,113K followers,mssuperstore40@gmail.com,"+8801888000461, +8801794690562",,false,Dhaka,3h,10,new,Auto-extracted via extension.
2026-06-27,facebook,Elor,https://www.facebook.com/elorofficial.bd,jewelry,136K followers,official.elor@gmail.com,"+8801886580924, +1861044702",https://pinterest.com/elorofficial,true,"Road No. 11, Banani, Dhaka","Jun 25, 2026 7:30 PM",10,new,Auto-extracted via extension.
2026-06-27,facebook,One Electronics,https://www.facebook.com/oneelectronics.com.bd,retail,50K followers,,+8801335175150,http://www.oneelectronics.com.bd/,true,"road,sutrapur,dhaka",5d,8,new,Auto-extracted via extension.
2026-06-27,facebook,Dhaka Fashion,https://www.facebook.com/dhakafashion.89,fashion,65K followers,ariful.islam070389@gmail.com,+8801717825382,,false,"Floor,Eastern Mollika shopping Complex,Old Elephant Road Dhaka",1d,10,new,Auto-extracted via extension.
2026-06-27,facebook,The Beauty Lounge,https://www.facebook.com/thebeautyloungebd,beauty,151K followers,thebeautyloungebd@gmail.com,+8801309009343,,false,Dhaka,"Apr 21, 2026 7:32 PM",9,new,Auto-extracted via extension.
2026-06-27,facebook,Fashion Corner BD,https://www.facebook.com/fashioncornerbd7,fashion,79K followers,rzbrtna@gmail.com,+8801581620106,,false,Dhaka,1w,10,new,Auto-extracted via extension.
2026-06-27,facebook,At The Table,https://www.facebook.com/atthetablefoodcourt,restaurant,35K followers,atthetablefoodcourt@gmail.com,+8801955575034,,false,Dhaka,"Jun 25, 2026 8:20 PM",10,new,Auto-extracted via extension.
2026-06-27,facebook,Vault Dhaka,https://www.facebook.com/vaultdhaka,restaurant,25K followers,vaultdhaka@gmail.com,+8801897646488,,false,"Avenue, Dhaka, Bangladesh, 1213
Services
Specialties
Reservations
 
 · Dine-in
Contact info
 vaultdhaka
01897-646488
vaultdhaka",1d,10,new,Auto-extracted via extension.
2026-06-27,facebook,fashiongallery.com,https://www.facebook.com/fashiongallerytailorsandfabrics,fashion,2.9K followers,badshapunno@gmail.com,+8801712168314,http://fashiongellery.com/,true,"road,Dhaka-1229 Bangladesh., Dhaka, Bangladesh, 1229
Dhaka, Dhaka","Jun 26, 2026 8:16 PM",10,new,Auto-extracted via extension.
2026-06-27,facebook,Hello Dhaka,https://www.facebook.com/hellodhaka21,restaurant,1.4K followers,,+64 6-982 8775,,false,Dhaka,"Jun 27, 2026 7:42 AM",9,new,Auto-extracted via extension. Manual input — Phone: +64 6-982 8775.
2026-06-27,facebook,Oasis Outfit,https://www.facebook.com/oasisoutfit,retail,947K followers,oasisoutfit@gmail.com,"+8801404000983, +701404000983",https://www.oasisoutfit.com/,true,"Floor) 4, Zakir Hossain Road, Concord Khulshi Town Center,Khulshi,Chattagram. , Chittagong, Bangladesh, 4202
Rangpur, Rangpur","Jun 27, 2026 5:47 PM",10,new,Auto-extracted via extension.
2026-06-27,facebook,Unique Home Decoration Item,https://www.facebook.com/UniqueHomeDecorationItem,home,52K followers,uniquehomedecorationitem@gmail.com,"+8801303337117, +8801795598634",http://www.uniquehomedecorationitem.com.bd/,true,Dhaka,"Jun 27, 2026 2:23 PM",10,new,Auto-extracted via extension.
2026-06-27,facebook,Arma,https://www.facebook.com/arma.bangladesh,general,103K followers,mahemahossain@gmail.com,"+8801326239157, +20320310413",https://tiktok.com/@arma_bangladesh,true,Rangpur,20h,9,new,Auto-extracted via extension.
2026-06-27,facebook,Saiful Express Ltd.,https://www.facebook.com/SaifulExpressLtd,general,3.3M likes,saifulislam1423@gmail.com,+4344991218,,false,Dhaka,"Jun 27, 2026 5:31 PM",10,new,Auto-extracted via extension.
2026-06-27,facebook,Beauty Looks,https://www.facebook.com/profile.php?id=100026823202097,services,12K followers,beautylooks73@gmail.com,"+8801410611692, +5301410611692",https://tiktok.com/@beauty.looks53,true,Dhaka,"Jun 25, 2026 8:55 PM",10,new,Auto-extracted via extension.
2026-06-27,facebook,A1 Beauty Collection BD,https://www.facebook.com/A1BeautyCollectionBD,services,13K followers,a1beautycollectionbd2025@gmail.com,+8801622001993,https://a1beautycollectionbd.com/,true,"Holding no: 111/1, North Mugda Road, Dhaka-1214, Bangladesh, Dhaka, Bangladesh
Dhaka, Dhaka",19h,9,new,Auto-extracted via extension.
2026-06-27,facebook,A1 watch collection,https://www.facebook.com/a1watchcollection,general,6.7K followers,,"+8801622001993, +8801670870162",,false,"Holding No. 111/1, Uttar Mugda Main Road, Dhaka-1214, Dhaka, Bangladesh, 1214
Chittagong Division · Sylhet Division · Rangpur, Rangpur","Jun 26, 2026 11:54 AM",10,new,Auto-extracted via extension.
2026-06-27,facebook,Gent Apparel BD,https://www.facebook.com/gentapparelbd,fashion,8.1K followers,,+8801560018131,,false,Dhaka,"Jun 24, 2026 3:22 PM",10,new,Auto-extracted via extension.
2026-06-27,facebook,Zero Entry,https://www.facebook.com/profile.php?id=61566907111518,fashion,5.1K followers,,"+8801730903063, +8801772021721",http://www.zeroentrybyhskhan.com/,true,Dhaka,"Jun 27, 2026 7:25 PM",9,new,Auto-extracted via extension.
2026-06-27,facebook,FAUJI,https://www.facebook.com/FAUJIlifestyle,general,21K followers,faujilifestylebd@gmail.com,"+8801776113322, +8801814835756, +8801476255521, +201476255521",http://www.faujilifestyle.com/,true,Dhaka,6d,9,new,Auto-extracted via extension.
2026-06-27,facebook,Decent Wear BD,https://www.facebook.com/decentwearbd,general,41K followers,decentweardw@gmail.com,+8801684811030,https://page.Again,true,Dhaka,"Jun 27, 2026 2:08 PM",10,new,Auto-extracted via extension.
2026-06-27,facebook,Time Zone BD by Afsana,https://www.facebook.com/artofsharibd4,jewelry,61K followers,,+8801638626700,https://www.facebook,true,Dhaka,"Jun 27, 2026 3:15 PM",9,new,Auto-extracted via extension.
2026-06-27,facebook,May be an image of wrist watch and text,https://www.facebook.com/Haseebwatchco,retail,16K followers,hwczone@gmail.com,+8801676413341,,false,"road, Hazi Eliyas market, Dhaka",22m,10,new,Auto-extracted via extension.
2026-06-27,facebook,Artyship,https://www.facebook.com/artyshipbd,general,205K followers,artyshipbd@gmail.com,+8801303422903,http://www.artyship.com/,true,Dhaka,21h,9,new,Auto-extracted via extension.
2026-06-27,facebook,United 25,https://www.facebook.com/UnitedJFP,services,16K followers,dreamexworld005@gmail.com,"+8801318791026, +001318791026",http://president.bd/,true,"Level 3/A,Shop-3A-003, Bashundhara residential area,Dhaka-1212, Bangladesh, Dhaka, Bangladesh, Dhaka, Bangladesh, Dhaka",5h,9,new,Auto-extracted via extension.
2026-06-27,facebook,Yazmeen Luxe,https://www.facebook.com/yazmeenluxe,fashion,34K followers,yazmeenluxe@gmail.com,"+8801348998889, +8801348998886",,false,"Floor, Concord MB Tower, Road-11, House-81, Banani, Dhaka, Bangladesh, 1213
Banani Model Town, Dhaka","Jun 27, 2026 7:00 PM",10,new,Auto-extracted via extension.
2026-06-27,facebook,Hi Choice,https://www.facebook.com/hichoicebag,general,57K followers,zarifacosmetics@gmail.com,+8801915774204,https://www.facebook,true,Dhaka,"Jun 25, 2026 5:46 PM",10,new,Auto-extracted via extension.
2026-06-28,facebook,Cake Paradise,https://www.facebook.com/cakeparadisebd,retail,107K followers,admin@cakeparadisebd.com,+8801339585791,https://www.cakeparadisebd.com/,true,"building 3rd floor, Dhaka-1207. , Dhaka, Bangladesh, 1207
Dhaka, Dhaka Division, Bangladesh · Tongi, Dhaka","Jun 28, 2026 11:02 AM",10,new,Auto-extracted via extension.
2026-06-28,facebook,Bag Image,https://www.facebook.com/bagimage9966,general,20K followers,,"+8801819482751, +8801971482751",https://www.youtube,true,Dhaka,"Jun 20, 2026 3:41 PM",8,new,Auto-extracted via extension.
2026-06-28,facebook,Furniture Shop BD,https://www.facebook.com/furniturebd11,home,9.7K followers,hosaindelowar818@gmail.com,+8801408827284,,false,"Road Badda , Dhaka",2d,10,new,Auto-extracted via extension.
2026-06-28,facebook,Lueur Bakery,https://www.facebook.com/bakery.lueur,restaurant,23K followers,lueur.bangladesh@gmail.com,"+8801880079214, +8801896204113, +8801896204117",https://www.foodbooking.com/api/fb/jbm_m3,true,"House 158/e, Kemal Ataturk Avenue, Banani, Dhaka, Bangladesh, 1213
Banani Model Town, Dhaka","Jun 25, 2026 2:02 PM",10,new,Auto-extracted via extension.
2026-06-28,facebook,Cake Factory-Online Cake shop,https://www.facebook.com/CakefactoryBD,retail,9K followers,mmcorporation.aa@gmail.com,+8801313388138,https://www.facebook,true,Dhaka,"Jun 27, 2026 5:04 PM",10,new,Auto-extracted via extension.
2026-06-28,facebook,BD Budget Beauty - BBB,https://www.facebook.com/bdbudgetbeautyofficial,beauty,1.2M followers,bdbudgetbeauty@gmail.com,"+8801734473738, +8801872650847",http://www.bdbudgetbeauty.com/,true,"Floor), Jamuna Future Park. , Dhaka",1h,9,new,Auto-extracted via extension.
2026-06-28,facebook,Brand Glam Shop,https://www.facebook.com/Faceplacekhulna,retail,35K followers,,+8801632989635,,false,Khulna,"Jun 28, 2026 10:05 AM",10,new,Auto-extracted via extension.
2026-06-28,facebook,LipTales,https://www.facebook.com/profile.php?id=61578987833480,beauty,35K likes,afrinmeem88@gmail.com,"+8801715360930, +5601715360930",https://tiktok.com/@liptales56,true,Dhaka,11h,9,new,Auto-extracted via extension.
2026-06-28,facebook,Rayam Furniture,https://www.facebook.com/rayamfurniture,home,21K followers,,"+8801723574885, +8801913386356",https://rayamfurniture.blogspot.com/,true,"House:164, Shadhinata Sharani, Uttar Badda, Gulshan, Dhaka","Jun 27, 2026 11:06 PM",9,new,Auto-extracted via extension.
2026-06-28,facebook,Porcelaina HOME,https://www.facebook.com/porcelainahome,home,144K followers,porcelainahome@gmail.com,"+8801321153885, +8801321153888",https://www.facebook,true,"Road,(Bata Signal Bus Stop), Dhaka, Bangladesh, 1205
Dhaka, Dhaka","Jun 20, 2026 8:02 PM",10,new,Auto-extracted via extension.
2026-06-28,facebook,Rakib Enterprise01,https://www.facebook.com/Nusrat.13678854,home,93K followers,alonejahid44@gmail.com,"+8801782733403, +0070969174",http://www.rakibenteprise.com/,true,Dhaka,"Jun 27, 2026 6:20 PM",10,new,Auto-extracted via extension.
2026-06-28,facebook,Furniture Valley,https://www.facebook.com/FurnituresValleyBD,home,17K followers,info@furniturevalleybd.com,+8801724495721,https://furniturevalleybd.com/,true,"Level 3,House - 01, Road - 04, Sector-1, Uttara, Dhaka",1d,9,new,Auto-extracted via extension.
2026-06-28,facebook,Shoukhin Furniture BD,https://www.facebook.com/ShoukhinFurnitureBD,home,20K followers,,+8801869521570,,false,Dhaka,"Jun 26, 2026 11:39 AM",10,new,Auto-extracted via extension.
2026-06-28,facebook,Furniture Brand BD,https://www.facebook.com/furniturebrandb,home,27K followers,furniturebrandbd@gmail.com,+8801718884056,https://tiktok.com/@furniture_brand_bd,true,road mohammadpur dhaka,5d,9,new,Auto-extracted via extension.
2026-06-28,facebook,NM Furniture.BD,https://www.facebook.com/p/NM-FurnitureBD-61564652784895,general,29K followers,nmfurniturebd1@gmail.com,"+8801988954281, +0101988954281",http://furniture.bd/,true,"Avenue, North badda U-turn, Gulshan 1212 Dhaka, Dhaka Division, Bangladesh, Dhaka","Jun 27, 2026 4:35 PM",10,new,Auto-extracted via extension.
2026-06-28,facebook,The DIY Life with Anika,https://www.facebook.com/anikasdiylife,general,511K followers,anika@anikasdiylife.com,,http://www.anikasdiylife.com/,true,,"Jun 28, 2026 7:00 AM",7,new,Auto-extracted via extension.
2026-06-28,facebook,Plant paradise,https://www.facebook.com/profile.php?id=100084333412061,general,19K followers,,,https://www.facebook,true,Narsingdi,3h,6,new,Auto-extracted via extension.
2026-06-28,facebook,Modern Shopping BD - মডার্ন শপিং বিডি,https://www.facebook.com/modernshopping.com.bd,retail,131K followers,modernshoppingbd@gmail.com,"+8801608959545, +8801608959546, +8801608959547",http://www.modernshopping.com.bd/,true,"House 52/2,Monorshor Road, Zigatola, [Near Dhanmondi 3A] , Dhaka, Bangladesh 1209., Dhaka",11m,9,new,Auto-extracted via extension.
2026-06-28,facebook,IBinna BD,https://www.facebook.com/snackstore19,services,15K followers,ibinna19@gmail.com,+8801890534901,,false,Dhaka,1d,10,new,Auto-extracted via extension.
2026-06-28,facebook,Hejab Fashion Wholesale BD,https://www.facebook.com/HejabFashionWholesale1,fashion,247K followers,mdh33785@gmail.com,+8801315393531,,false,"road , Dhaka, Bangladesh, 1100
Dhaka, Dhaka","Jun 28, 2026 12:39 AM",10,new,Auto-extracted via extension.
