date,platform,business_name,page_url,category,followers,email,phone,website,has_website,address,last_post_date,qualification_score,status,notes,follow_up_date,open_state,hours_text,deleted_at,saved_by_user_id,saved_by_user_name
OPEN FOR ALL,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
📅 27 • 28 • 29 August 2026,,,,,,,,,,,,,,,,,,,,
⏰ 10:00 AM – 11:00 PM,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
📍 Aloki Convention Center,,,,,,,,,,,,,,,,,,,,
(Beside Aarong),,,,,,,,,,,,,,,,,,,,
"""Gulshan–Tejgaon Link Road""""""","""""""Jun 20""","""2026 12:46 AM""""""",9,new,"""""""Auto-extracted via extension. Phone: +8801715068878""","""+8801902915860. Email: mirrormagazineintl@gmail.com.""""""",2026-06-23,,,,,,,,,,,,,
2026-06-20,facebook,Cholo Bangladesh,https://www.facebook.com/cholobanglaadesh,"""""""Information Technology Company""",,,,,,,,,,,,,,,,
"""$$""""""",7.7K followers,info@cholo.asia,+8801621017976,http://www.cholo.asia/,true,"""""""Welcome to Cholo! Welcome to Cholo! We deliver food from your favourite Sylhet restaurants. Fast""",easy,"""and reliable – we’re here for you.""""""",8w,9,new,Auto-extracted via extension. Phone: +8801621017976. Email: info@cholo.asia.,2026-06-23,,,,,,,
2026-06-20,facebook,Dhaka Night Market,https://www.facebook.com/dhakanightmarket,,8.1K followers,dhakanightmarket@gmail.com,+8801755673845,http://www.dhakanightmarket.com/,true,"""""""DhakaNightMarket #SummerEdition #DhakaEvents #ShopEatEnjoy #NightMarket #DhakaLifestyle #FashionAndFood #SummerVibes""",,,,,,,,,,
Dhaka Night Market,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
d,,,,,,,,,,,,,,,,,,,,
e,,,,,,,,,,,,,,,,,,,,
n,,,,,,,,,,,,,,,,,,,,
t,,,,,,,,,,,,,,,,,,,,
o,,,,,,,,,,,,,,,,,,,,
s,,,,,,,,,,,,,,,,,,,,
S,,,,,,,,,,,,,,,,,,,,
r,,,,,,,,,,,,,,,,,,,,
p,,,,,,,,,,,,,,,,,,,,
o,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,
i,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,
u,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,
f,,,,,,,,,,,,,,,,,,,,
l,,,,,,,,,,,,,,,,,,,,
i,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,
p,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,
l,,,,,,,,,,,,,,,,,,,,
i,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,,
l,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,
g,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,
i,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,
r,,,,,,,,,,,,,,,,,,,,
g,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,
g,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,
l,,,,,,,,,,,,,,,,,,,,
"""𝐃𝐡𝐚𝐤𝐚 𝐍𝐢𝐠𝐡𝐭 𝐌𝐚𝐫𝐤𝐞𝐭 - 𝐒𝐞𝐚𝐬𝐨𝐧 𝟐 was a full house""""""",2w,8,new,Auto-extracted via extension. Phone: +8801755673845. Email: dhakanightmarket@gmail.com.,2026-06-23,,,,,,,,,,,,,,,
2026-06-20,facebook,Foodieshe,https://www.facebook.com/foodieshe,,84K followers,foodieshe@gmail.com,,https://www.facebook,true,"""""""Travel | Lifestyle & Food - Sharing honest reviews""",hidden gems,must-try bites,travel and lifestyle tips across Dhaka,Bangladesh & beyond. From street eats to fine dining,join me for daily updates,"""mouthwatering finds & your next favorite dish! ❤️""""""","""""""Jun 20""",,,
2026-06-20,facebook,Prive' by Nahila Hedayet,https://www.facebook.com/privebynahila,"""""""Hair Salon""",,,,,,,,,,,,,,,,
"""$$$""""""",129K followers,info.prive.salon@gmail.com,"""""""+8801926649646""","""+8801766946433""""""",,false,"""""""Road 102 House 23B Gulshan 2""",Dhaka,Bangladesh,"""1212""""""","""""""Jun 16""","""2026 12:22 PM""""""",10,qualified,"""""""Auto-extracted via extension. Phone: +8801926649646""",+8801766946433. Email: info.prive.salon@gmail.com. Manual input — Email: info.prive.salon@gmail.com,Phone: +8801926649646,,,
2026-06-20 21:49:05,google_maps,Ruposhi Beauty Parlor,https://maps.google.com/place_id:test_live_demo_42,beauty parlor,,,01812-442044,,,"""""""Gulshan 1""","""Dhaka""""""",,9,new,"""""""Keyword: beauty parlor""","""Location: Dhaka""""""",,,,
2026-06-20 21:53:33,google_maps,Araki Restaurant,https://maps.google.com/place_id:test_v3_42,restaurant,,,01812-442044,,,"""""""Kanchan""","""Dhaka""""""",,9,new,"""""""🎯 Trojan: ExecERP — Inventory Module. Keyword: restaurant""","""Location: Dhaka""""""",,,,
2026-06-21 11:38:22,google_maps,Clothing Fashion In Bd,https://www.google.com/maps/place/?q=place_id:ChIJ-xNHHUrHVTcRUHhiel_1EYE,retail,,,+880 1810-778195,,false,"""""""Dhaka 1937""","""Bangladesh""""""",,9,new,"""""""🎯 Trojan: ExecERP — Inventory Module. Keyword: Fashion""",Location: Dhaka,"""Bangladesh | 🎯 Trojan: ExecERP (Inventory Module)""""""",,,
2026-06-21 11:38:24,google_maps,Wild Fashion BD,https://www.google.com/maps/place/?q=place_id:ChIJk83fOHC4VTcR_M3Xk_KjDS0,retail,,,+880 1719-582894,https://cashbackbd.blogspot.com/2021/01/window.html,true,"""""""931/ C""",Shahid Baki Rd,Dhaka 1219,"""Bangladesh""""""",,8,new,"""""""🎯 Trojan: ExecERP — Inventory Module. Keyword: Fashion""",,,
2026-06-21 11:38:24,google_maps,PATHANI: The Fashion Store,https://www.google.com/maps/place/?q=place_id:ChIJAWHC2sa5VTcRniXn015y4oA,retail,,,+880 1511-525115,http://pathani.net/,true,"""""""Opposite of Agrani Bank""",Next Shop of Dhaka Tower-1,Shop No. 474,Hawkers Market,Shodorghat,Dhaka 1100,"""Bangladesh""""""",,,,
2026-06-21 11:38:25,google_maps,Nibir Fashion,https://www.google.com/maps/place/?q=place_id:ChIJAQDAF8a4VTcRwZvnGzZJeTA,retail,,,+880 1885-571642,https://www.facebook.com/nibirfashion.1,true,"""""""6/7 Noor-Mansion (2nd Floor)""",Gawsia Market,Dhaka,1205,"""Bangladesh""""""",,9,new,,,
2026-06-21 11:38:26,google_maps,B2 Fashion - Gulshan - 1,https://www.google.com/maps/place/?q=place_id:ChIJJRrQekrHVTcRh9Bf1vum_KY,retail,,,+880 1894-829236,https://b2trendbd.com/,true,"""""""62 Gulshan Avenue Road No-130""",Gulshan South C/A Dhaka-1212 Dhaka,1212,"""Bangladesh""""""",,9,new,"""""""🎯 Trojan: ExecERP — Inventory Module. Keyword: Fashion""",,,
2026-06-21 11:38:31,google_maps,The Beauty Mall,https://www.google.com/maps/place/?q=place_id:ChIJsf3ilgHHVTcRYAz5-YM9tkE,beauty,,,+880 1309-000470,,false,"""""""68""",Block - D,House No,Ground floor,Rd 10,Dhaka 1212,"""Bangladesh""""""",,,,
2026-06-21 11:38:32,google_maps,Authentic Cosmetics Store in Bangladesh - Saajkutir,https://www.google.com/maps/place/?q=place_id:ChIJy12Ye6m5VTcRAxGE36rRkhc,beauty,,,+880 1301-983737,https://www.saajkutir.com/,true,"""""""43 NO""",1100 Rankin St,Dhaka 1100,"""Bangladesh""""""",,8,new,"""""""🎯 Trojan: ExecMate — Appointment Management. Keyword: beauty products""",,,
2026-06-21 11:38:33,google_maps,Bangla Shoppers,https://www.google.com/maps/place/?q=place_id:ChIJhVYlCgzHVTcRC21zR5R1jwE,beauty,,,+880 1559-222444,https://www.banglashoppers.com/,true,"""""""House: 134""",Road: 12,Block: E,Dhaka 1213,"""Bangladesh""""""",,8,new,,,
2026-06-21 11:38:34,google_maps,Meye Ghor - Best Online Cosmetics Shop in Bangladesh​,https://www.google.com/maps/place/?q=place_id:ChIJR1JkGyzBVTcRQq-_WJiaYmg,beauty,,,+880 1610-280362,http://meyeghor.com/,true,"""""""Shop No-240""",1st Floor,Muktobangla Shopping Complex,Dhaka 1216,"""Bangladesh""""""",,8,new,,,
2026-06-21 11:38:35,google_maps,Miake BD,https://www.google.com/maps/place/?q=place_id:ChIJxdei-y2_VTcROJ5AKvOL2uc,beauty,,,+880 1618-825738,https://miakebd.com/,true,"""""""House 35""",Aftab Nagar Main Rd,Dhaka 1212,"""Bangladesh""""""",,8,new,"""""""🎯 Trojan: ExecMate — Appointment Management. Keyword: beauty products""",,,
2026-06-21 11:38:42,google_maps,"""""""Nobin Fashion""","""Vatara Branch (Family Bazar)""""""",https://www.google.com/maps/place/?q=place_id:ChIJ8VoF6mrHVTcR80ysBBqX8h0,retail,,,+880 1877-655563,https://thefamilybazar.com/,true,"""""""House No- 1260""",Madani Avenue 100 Feet Vatara (Opposite Road of American,Embassy),Dhaka 1212,"""Bangladesh""""""",,9,,,
2026-06-21 11:59:03,google_maps,Test Bakery & Cafe,https://www.google.com/maps/place/?q=place_id:test123,restaurant,,,+8801712345678,,false,"""""""Gulshan""","""Dhaka""""""",,8,new,🎯 Trojan: ExecERP — Inventory Module. Test lead from diagnostics,,,,,
2026-06-21 12:04:13,google_maps,Dhaka Artisan Coffee,https://www.google.com/maps/place/?q=place_id:test_inline_btn,restaurant,,,+8801711111111,https://dhakaartisancoffee.com,true,"""""""Banani""","""Dhaka""""""",,9,new,🎯 Trojan: ExecERP — Inventory Module. Test lead with inline buttons,,,,,
2026-06-21 12:18:21,google_maps,Gulshan Roastery,https://www.google.com/maps/place/?q=place_id:test_inline_v2,restaurant,,,+8801712222222,https://gulshanroastery.com,true,"""""""Gulshan 2""","""Dhaka""""""",,8,new,🎯 Trojan: ExecERP — Inventory Module. Test with fresh callback IDs,,,,,
2026-06-21 12:30:49,google_maps,Gulshan Roastery,https://google.com/maps/gulshan-roastery,restaurant,,,+8801712222222,https://gulshanroastery.com,true,"""""""Gulshan 2""","""Dhaka""""""",,8,new,🎯 Trojan: ExecERP — Inventory Module. Premium coffee shop,,,,,
2026-06-21 12:36:45,google_maps,Test Cafe & Bakery,https://google.com/maps/test-quick-actions,restaurant,,,+8801712345678,,false,"""""""Gulshan""","""Dhaka""""""",,8,new,🎯 Trojan: ExecERP — Inventory Module. Testing quick action footer,,,,,
2026-06-21 12:37:59,google_maps,Footer Fix Test,https://google.com/maps/test-footer-fix,restaurant,,,+8801711111111,,false,Dhaka,,7,new,🎯 Trojan: ExecERP — Inventory Module. Checking footer appears,,,,,,
2026-06-21 12:39:06,google_maps,Footer Fix Verifier,https://google.com/maps/footer-check-v2,restaurant,,,+8801711111111,,false,Dhaka,,7,new,🎯 Trojan: ExecERP — Inventory Module,,,,,,
2026-06-21 12:42:00,google_maps,Open Status Test Shop,https://google.com/maps/open-test,restaurant,,,+8801711111111,,false,"""""""Gulshan""","""Dhaka""""""",,7,new,🎯 Trojan: ExecERP — Inventory Module,,Open now,,,
2026-06-21 12:43:43,google_maps,Hours Test Cafe,https://google.com/maps/hours-test,restaurant,,,+8801711111111,,false,"""""""Banani""","""Dhaka""""""",,8,new,🎯 Trojan: ExecERP — Inventory Module,,Open now,,,
2026-06-21 12:56:45,google_maps,Soi 71,https://www.google.com/maps/place/?q=place_id:ChIJdTJxi6nHVTcR4UBYjHRDCr4,restaurant,,,,http://www.soi71.net/,true,"""""""House-8 Rd 101""",Dhaka 1212,"""Bangladesh""""""",,7,new,"""""""🎯 Trojan: ExecERP — Inventory Module. Keyword: restaurant""",Location: Dhaka,,,
2026-06-21 12:57:53,google_maps,M.K. Electronics | Gulshan 2 Showroom,https://www.google.com/maps/place/?q=place_id:ChIJLRdQAafHVTcRTqad72bPiRI,retail,,,+880 9613-333111,https://www.mke.com.bd/,true,"""""""Hamid Tower""",24 Gulshan C/A,Dhaka 1212,"""Bangladesh""""""",,8,new,"""""""🎯 Trojan: ExecERP — Inventory Module. Keyword: electronics""",,,
2026-06-21 13:07:45,google_maps,Unimart Gulshan 2,https://www.google.com/maps/place/?q=place_id:ChIJcR21rKfHVTcRlhqUVlOWb7w,retail,,,+880 1955-550000,https://unimart.online/,true,"""""""House No. 23""",Gulshan Centre Point,26 Rd 90,Dhaka 1212,"""Bangladesh""""""",,8,new,,,
2026-06-21 13:19:32,google_maps,Brand Test Shop,https://google.com/maps/brand-test,retail,,,+8801711111111,,false,"""""""Gulshan""","""Dhaka""""""",,8,new,🎯 Trojan: ExecERP — Inventory Module,,Open now,,,
2026-06-21 15:14:08,google_maps,"""""""Oikko.com.bd: SME Online Shop in Dhaka""","""Bangladesh""""""",https://www.google.com/maps/place/?q=place_id:ChIJu275e9PHVTcRjUFsJ4sNh1A,retail,,,+880 1613-533333,,false,"""""""266 W Nakhalpara Rd""",Dhaka 1215,"""Bangladesh""""""",,10,new,"""""""🎯 Trojan: ExecERP — Inventory Module. Keyword: online shop""",,,
2026-06-21 15:34:20,facebook,Gulshan Fashion House,https://facebook.com/gulshanfashiondemo,retail,,,+8801712345678,,,"""""""Road 12""",Gulshan 2,"""Dhaka 1212""""""",,,new,🎯 Trojan: ExecERP — Inventory Module. Test lead for demo,,,,
2026-06-21 15:45:18,facebook,Mingle In Style,https://www.facebook.com/mirrorbdgroup/videos/mingle-in-stylewe-are-delighted-to-announce-that-mingle-in-style-is-participatin/933399569386136,retail,,rkshopbd21@gmail.com,+8801714166165,,false,,,7,new,"""""""🎯 Trojan: ExecERP — Inventory Module. Phones: +8801714166165""",+8801756291718,+8801747884094. Emails: rkshopbd21@gmail.com,style@bangla.net,,,
2026-06-21 16:21:01,facebook,How To Set Up A Shop In Commerce Manager,https://www.facebook.com/business/learn/lessons/how-to-set-up-a-shop-in-commerce-manager,retail,,info@counselslaw.com,+8801700920980,,false,"""""""to receive the latest updates from Meta for business""",including news,"""events and product updates. By submitting this for""""""",,8,new,"""""""🎯 Trojan: ExecERP — Inventory Module. Phones: +8801700920980. Emails: info@counselslaw.com. Flags: has_phone""",has_email,,,
2026-06-21 16:31:16,google_maps,Online shopping,https://www.google.com/maps/place/?q=place_id:ChIJ0wFXgvbFVTcRzbuknXGhEM0,general,,,+880 1760-333894,,false,"""""""Uttara sector 4""",Road 11,House 26 Uttara sector 4,Road 11,House 26 Dhaka Bangladesh Dhaka,1212,"""Bangladesh""""""",,,,
2026-06-21 16:31:17,google_maps,"""""""MarsOnline.Com.Bd ( Best Online Shop( E-commerce) in Dhaka""","""Bangladesh)""""""",https://www.google.com/maps/place/?q=place_id:ChIJX5eYMpfFVTcRdYjeoRgVdVc,general,,,+880 1960-464646,,false,"""""""House #13""",Road #10,Sector #06,Dhaka 1230,"""Bangladesh""""""",,9,,,
2026-06-21 16:31:17,google_maps,eBooth.com.bd | Online Shopping Store,https://www.google.com/maps/place/?q=place_id:ChIJodr-b0a5VTcRorx62DPY90A,general,,,,,false,"""""""161 Crescent Road""",Green Rd,Dhaka 1205,"""Bangladesh""""""",,8,new,"""""""🎯 Trojan: ExecMate — Business Automation. Keyword: online product seller""",,,
2026-06-21 16:31:18,google_maps,Retailer BD,https://www.google.com/maps/place/?q=place_id:ChIJOzbog_vFVTcR406jkAnLUpE,general,,,+880 1753-336609,https://www.retailerbd.com/,true,"""""""House: 136""",Farid Market,Dhaka 1230,"""Bangladesh""""""",,9,new,"""""""🎯 Trojan: ExecMate — Business Automation. Keyword: online product seller""",,,
2026-06-21,facebook,Beauty Concept BD,https://www.facebook.com/beautyconceptbd1,general,66K followers,beautyconceptbd1@gmail.com,+8801624170716,,false,"""""""Dhaka Bangladesh""",Dhaka,Bangladesh,1217 Rangpur,Rangpur Division,Bangladesh · Khulna,Khulna Division,Bangladesh · Rajshahi,,,
2026-06-21,facebook,"""""""Wholesale Skincare Beauty BD""",,,,,,,,,,,,,,,,,,
"""(Royal Beauty Fashion)""""""",https://www.facebook.com/royalbeautyfashionbd,beauty,33K followers,royalbeautyfashion74@gmail.com,,,false,"""""""Lives in Dhaka""","""Bangladesh""""""","""""""Jun 21""","""2026 5:01 PM""""""",10,new,"""""""🎯 Trojan: ExecMate — Appointment Management. Auto-extracted via extension. Phone: none. Email: royalbeautyfashion74@gmail.com. Manual input — Email: royalbeautyfashion74@gmail.com""","""Phone: none.""""""",2026-06-24,,,,
2026-06-21,facebook,Zoe’s Cart,https://www.facebook.com/zoescart,beauty,5.4K followers,cartzoes@gmail.com,,,false,#rules #policy #নীতিমালা #cosmetics #makeup #ornaments #makeover #onlineshop #accessories #jewelry #jwellery #jewellery #jwelry #bd #bangladesh #dhaka #onlinestore #shop #zoescart #jewelryshop #bagslover #makeup #bd #bangladesh,"""""""Jun 21""","""2026 3:39 PM""""""",10,new,"""""""🎯 Trojan: ExecMate — Appointment Management. Auto-extracted via extension. Phone: none. Email: cartzoes@gmail.com. Manual input — Email: cartzoes@gmail.com""","""Phone: none.""""""",2026-06-24,,,
2026-06-21,facebook,A'A Cosmetics,https://www.facebook.com/aacosmetics.bd,beauty,11K followers,,+8801642004599,,false,"""""""Dhaka""",Dhaka,Bangladesh,1211 Chittagong Division · Rangpur Division · Sylhet Division · Dhaka Division · Khulna Division · Rajshahi Division · Barisal Division · Gazipur,Dhaka Division,Bangladesh · Lalmonirhat,Rangpur Division,Bangladesh · Faridpur,,,
2026-06-21,facebook,Beauty Products Bangladesh Hub,https://www.facebook.com/beautyproductsbangladeshhub,beauty,33K followers,,+8801982020706,https://sucoshop.com/,true,"""""""Dhaka Bangladesh""",Dhaka,"""Bangladesh""""""","""""""Jun 21""","""2026 11:58 AM""""""",9,new,"""""""🎯 Trojan: ExecMate — Appointment Management. Auto-extracted via extension. Phone: +8801982020706. Email: none. Manual input — Email: none""",,,
2026-06-21,facebook,Glowy Milky,https://www.facebook.com/glowymilky.bd,general,6.1K followers,support@glowymilky.com,+8801766720707,,false,"""""""West dhanmondi""",dhaka,Dhaka,Bangladesh,1217 Dhaka,Dhaka Division,"""Bangladesh""""""","""""""Jun 20""",,,
2026-06-22,facebook,Express Shop Bangladesh,https://www.facebook.com/ExpressShopBangladesh,retail,32K followers,official.esbd@gmail.com,+8801735165970,,false,,1d,9,new,"""""""🎯 Trojan: ExecERP — Inventory Module. Auto-extracted via extension. Phone: +8801735165970. Email: official.esbd@gmail.com. Manual input — Email: official.esbd@gmail.com""","""Phone: +8801735165970.""""""",2026-06-25,,,,
2026-06-22,facebook,Green Mango Restaurant,https://www.facebook.com/GreenMangoRestaurantMirpur,general,830 followers,greenmango0022@gmail.com,+8801789632028,,false,"""""""House #18""",Block #G,Avenue #2,Section-2,Mirpur,Dhaka,Mirpur,Bangladesh,,,
2026-06-22,facebook,Sajna Restaurant,https://www.facebook.com/originalsajnarestaurant,general,11K followers,sajnarest@gmail.com,+8801978811684,https://maps.app.goo.gl/7UpcoKa7VRTDNwyn8,true,"""""""facebook.com""",· goo.gl,"""· google.com""""""","""""""Jun 22""","""2026 9:00 AM""""""",10,new,"""""""🎯 Trojan: ExecMate — Business Automation. Auto-extracted via extension. Phone: +8801978811684. Email: sajnarest@gmail.com. Manual input — Email: sajnarest@gmail.com""",,,
2026-06-22,facebook,Ruellia,https://www.facebook.com/ruelliaa,general,30K followers,ruellia2020@gmail.com,+8801936816523,,false,"""""""Dhaka""","""Bangladesh""""""",4h,9,new,"""""""🎯 Trojan: ExecMate — Business Automation. Auto-extracted via extension. Phone: +8801936816523. Email: ruellia2020@gmail.com. Manual input — Email: ruellia2020@gmail.com""","""Phone: +8801936816523.""""""",2026-06-25,,,
2026-06-22,facebook,Rainbow Grocery,https://www.facebook.com/rainbowgrocery1,retail,16K followers,,+1 (313) 826-0658,,false,,34 weeks ago,4,new,"""""""🎯 Trojan: ExecERP — Inventory Module. Auto-extracted via extension. Phone: none. Email: none. Manual input — Email: none""","""Phone: +1 (313) 826-0658.""""""",,,,,
2026-06-22,facebook,Quaderi Jute,https://www.facebook.com/quaderijutebd,general,295 followers,quaderijute@gmail.com,+8801711373830,http://www.quaderijute.com/,true,,"""""""Jun 4""","""2026 4:55 PM""""""",8,new,"""""""🎯 Trojan: ExecMate — Business Automation. Auto-extracted via extension. Phone: +8801711373830. Email: quaderijute@gmail.com. Manual input — Email: quaderijute@gmail.com""","""Phone: +8801711373830.""""""",2026-06-25,,,
2026-06-22,facebook,Rover Footwear BD,https://www.facebook.com/roverfootwearbd,retail,5.3K followers,roverfootwearbd@gmail.com,+8801741187325,http://www.roverfootwearbd.com/,true,"""""""Banasree""",Dhaka,Bangladesh,"""1219""""""","""""""Jun 6""","""2024 2:00 PM""""""",6,new,,,
2026-06-22,facebook,AccsZone BD,https://www.facebook.com/accszonebd,retail,4.7K followers,accszonebd@gmail.com,+8801990887362,https://www.bing.com/maps/default.aspx?v=2&pc=FACEBK&mid=8100&where1=Chairman%20Para%2C%20Dakshin%20Khan%2C%20Dhaka%2C%20Bangladesh%2C%201230&FORM=FBKPL1&mkt=en-US&fbclid=IwZXh0bgNhZW0CMTAAYnJpZBExYlRHdWtFMTkwM1lRam1CNXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR571CnR_eB6j9z1nzneiKBnLSejDRjSzzFV4_qfmVtH_hIvyoLtJF68rbwegg_aem_uTeBFUzJ4RJbWxo0uoutoQ,true,"""""""Chairman Para""",Dakshin Khan,Dhaka,Bangladesh,1230 Dhaka,Dhaka Division,"""Bangladesh""""""",14w,,,
2026-06-22,facebook,𝐌𝐚𝐧𝐝𝐚 𝐓𝐞𝐜𝐡 𝐌𝐚𝐫𝐭,https://www.facebook.com/mandatechmart,retail,1K followers,expertfreelancerraju@gmail.com,+8801744631860,https://mandatechstore.com/,true,"""""""Rajshahi""",Rajshahi Division,Bangladesh · Dhaka,Dhaka Division,Bangladesh · Sylhet,Sylhet Division,Bangladesh · Jasora,Chittagong Division,,,
2026-06-22,facebook,Branding & Marketing,https://www.facebook.com/branding8marketing,services,27K followers,sagork855@gmail.com,+8801874607388,https://www.fiverr.com/s/0bxxe6a,true,"""""""Branding & Marketing is  feeling positive in Banani""",Dhaka,"""Bangladesh.""""""","""""""Jun 22""","""2026 1:44 AM""""""",10,new,"""""""🎯 Trojan: ExecMate — Business Automation. Auto-extracted via extension. Phone: +8801874607388. Email: sagork855@gmail.com. Manual input — Email: sagork855@gmail.com""",,,
2026-06-22,facebook,EzyTechaccess,https://www.facebook.com/ezytechaccess,retail,18K followers,ezytechaccess@gmail.com,+8801789375949,,false,"""""""Chairman Para""",Dakshinkhan,Post: Dakshinkhan - 1230,,Dhaka,Bangladesh,"""1230""""""","""""""Jun 22""",,,
2026-06-22,facebook,Be Organic Bangladesh,https://www.facebook.com/beorganicbangladesh,general,43K followers,,+8801721008599,,false,"""""""Dhaka""","""Bangladesh""""""",18h,8,new,"""""""🎯 Trojan: ExecMate — Business Automation. Auto-extracted via extension. Phone: +8801721008599. Email: none. Manual input — Email: none""","""Phone: +8801721008599.""""""",2026-06-25,,,
2026-06-22,facebook,Mid Range,https://www.facebook.com/midrange0505,services,10K followers,midrange0505@gmail.com,+8801708598560,,false,"""""""Pabna""",Rajshahi Division,"""Bangladesh""""""",19h,10,new,"""""""🎯 Trojan: ExecMate — Business Automation. Auto-extracted via extension. Phone: +8801708598560. Email: midrange0505@gmail.com. Manual input — Email: midrange0505@gmail.com""","""Phone: +8801708598560.""""""",,,
